Timestamp,Memory (MB)
21:05:38,14.36
21:05:39,152.66
21:05:40,166.00
21:05:41,179.36
21:05:42,193.03
21:05:43,206.44
21:05:44,219.80
21:05:45,234.69
21:05:46,248.81
21:05:47,263.11
21:05:48,277.23
21:05:49,291.00
21:05:50,304.70
21:05:51,318.12
21:05:52,331.58
21:05:53,345.27
21:05:54,359.03
21:05:55,372.47
21:05:56,385.89
21:05:57,399.31
21:05:58,412.70
21:05:59,426.53
21:06:00,439.91
21:06:01,453.33
21:06:02,466.75
21:06:03,480.19
21:06:04,493.88
21:06:05,507.31
21:06:06,520.77
